ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
864.0000000746437,59.52454852290966,0.2207205558251693,10.0,15.0,29.9,5.0
720.0000000622031,59.52454852290966,0.1872382758069282,15.0,15.0,29.9,5.0
1080.0000000933044,59.524548522909654,0.1674807277703081,10.0,10.0,29.9,5.0
1080.0000000933044,59.524548522909654,0.1797816514754292,10.0,10.0,5.0,29.9
617.1428571961741,59.43457519669506,0.4236272955386873,20.0,15.0,13.3,29.9
617.1428571961741,59.43457519669506,0.42315015296103,15.0,20.0,29.9,13.3
720.0000000622031,59.43457519669506,0.2696343836732568,10.0,20.0,29.9,13.3
720.0000000622031,59.43457519669506,0.2656515586869637,20.0,10.0,13.3,29.9
1080.0000000933044,59.43344420735539,0.0757323956773808,5.0,15.0,5.0,13.3
1440.0000001244061,59.43344420735539,0.0977122572838391,5.0,10.0,5.0,13.3
1440.0000001244061,59.43344420735539,0.098061830222926,10.0,5.0,13.3,5.0
1080.0000000933044,59.43344420735539,0.0716382384914458,15.0,5.0,13.3,5.0
617.1428571961741,59.42649883935142,0.4711291450068138,15.0,20.0,29.9,21.6
617.1428571961741,59.42649883935142,0.4711886573248397,20.0,15.0,21.6,29.9
1440.0000001244061,59.42528195733942,0.0833323961918857,10.0,5.0,21.6,5.0
1440.0000001244061,59.42528195733942,0.0854687751249853,5.0,10.0,5.0,21.6
1080.0000000933044,59.41985077560289,0.2367018447492607,15.0,5.0,13.3,29.9
1080.0000000933044,59.41985077560289,0.2405644897776113,5.0,15.0,29.9,13.3
1440.0000001244061,59.41985077560289,0.3025856801314942,10.0,5.0,13.3,29.9
1440.0000001244061,59.41985077560289,0.3060552600226581,5.0,10.0,29.9,13.3
1440.0000001244061,59.411817132083044,0.2022720235998434,5.0,10.0,29.9,21.6
1440.0000001244061,59.411817132083044,0.2007504845991592,10.0,5.0,21.6,29.9
720.0000000622031,59.319953987772884,0.5258812127335112,15.0,15.0,13.3,13.3
720.0000000622031,58.99762176943312,0.42621393453167,15.0,15.0,21.6,13.3
720.0000000622031,58.99762176943312,0.426479080440916,15.0,15.0,13.3,21.6
720.0000000622031,58.99600771583728,0.4865418493066383,15.0,15.0,21.6,21.6
864.0000000746437,58.99470849258973,0.4478298978430974,15.0,10.0,13.3,21.6
864.0000000746437,58.99470849258973,0.4482835395733355,10.0,15.0,21.6,13.3
1080.0000000933044,58.99470849258972,0.4126864271407329,10.0,10.0,21.6,13.3
1080.0000000933044,58.99470849258972,0.4129086370848114,10.0,10.0,13.3,21.6
864.0000000746437,58.99372206405731,0.3285602098140689,10.0,15.0,13.3,13.3
1080.0000000933044,58.99372206405731,0.4998967535735941,10.0,10.0,13.3,13.3
864.0000000746437,58.99372206405731,0.3159092658581214,15.0,10.0,13.3,13.3
1080.0000000933044,58.993101704406925,0.4589257651087109,10.0,10.0,21.6,21.6
1440.0000001244061,58.930903619680294,0.2297161409857994,10.0,5.0,13.3,21.6
1440.0000001244061,58.930903619680294,0.2289893111684535,5.0,10.0,21.6,13.3
1080.0000000933044,58.930903619680294,0.1680592008822982,5.0,15.0,21.6,13.3
1080.0000000933044,58.930903619680294,0.1685177444799097,15.0,5.0,13.3,21.6
1440.0000001244061,58.929072330752625,0.1621135247317088,10.0,5.0,21.6,21.6
1440.0000001244061,58.929072330752625,0.1600234008736714,5.0,10.0,21.6,21.6
1440.0000001244061,58.922261978755536,0.156758997625014,5.0,10.0,13.3,13.3
1080.0000000933044,58.922261978755536,0.1202288422668757,15.0,5.0,13.3,13.3
1440.0000001244061,58.922261978755536,0.1573222939112033,10.0,5.0,13.3,13.3
1080.0000000933044,58.922261978755536,0.1202787463977094,5.0,15.0,13.3,13.3
1440.0000001244061,58.91845860845186,0.1397988111145568,5.0,10.0,13.3,21.6
1440.0000001244061,58.91845860845186,0.1425355223961415,10.0,5.0,21.6,13.3
864.0000000746437,57.75746877851554,0.1681259925508945,10.0,15.0,13.3,21.6
864.0000000746437,57.75746877851552,0.1642072831420309,15.0,10.0,21.6,13.3
864.0000000746437,57.745605193938545,0.1718405354383938,15.0,10.0,21.6,21.6
864.0000000746437,57.745605193938545,0.1705172899253657,10.0,15.0,21.6,21.6
720.0000000622031,57.175798504102296,0.121626686596546,20.0,10.0,21.6,13.3
720.0000000622031,57.17579850410229,0.1226564250646919,10.0,20.0,13.3,21.6
720.0000000622031,57.1663374941387,0.1552462751618311,10.0,20.0,21.6,21.6
720.0000000622031,57.1663374941387,0.1544551335988367,20.0,10.0,21.6,21.6
